a 啊
qnp 峭
qyu 峮
fgu 峯
fgu 峰
nci 峱
lio 峲
yzi 峳
xmp 峴
rsi 峵
dco 島
ufu 峷
igi 峸
tui 峹
ggo 峺
jyp 峻
gcp 峼
xxi 峽
yki 峾
yuo 峿
wui 峿
lhp 崀
lho 崀
kjp 崁
lci 崂
ldi 崃
xmo 崄
qtp 崅
ksu 崆
isi 崇
isi 崈
tap 崉
lki 崊
hxp 崋
juu 崌
ldi 崍
qii 崎
qio 崎
yiu 崎
mki 崏
kyu 崐
kyu 崑
zui 崒
cvp 崒
gup 崓
cvu 崔
yai 崕
yai 崖
gho 崗
ghu 崗
lyi 崘
lyi 崙
lgi 崚
lki 崚
jti 崛
yup 崛
dou 崜
doo 崜
vgu 崝
gou 崞
yki 崟
dsu 崠
dsp 崠
hji 崡
vgu 崢
wwo 崣
xni 崤
yci 崤
pii 崥
bio 崥
yju 崦
ssu 崧
jqi 崨
bgu 崩
zui 崪
kuu 崫
jti 崫
dsu 崬
vjo 崭
gup 崮
yki 崯
ziu 崰
zep 崱
hli 崲
yui 崳
wdo 崴
wwu 崴
wwo 崴
yhi 崵
dhp 崵
fgu 崶
qqi 崷
yhi 崸
tii 崹
yio 崺
vip 崻
uip 崼
dqi 崼
zdo 崽
yco 崾
ycp 崾
ep 崿
vup 嵀
kju 嵁
vjp 嵁
lvp 嵂
yjo 嵃
yjp 嵃
mwo 嵄
hji 嵅
jiu 嵆
jiu 嵇
xii 嵇
hrp 嵈
tki 嵉
ugp 嵊
igi 嵊
mwi 嵋
qmp 嵌
hjo 嵌
kjp 嵌
wup 嵍
mci 嵍
yui 嵎
zsu 嵏
lji 嵐
keo 嵑
jqi 嵑
yji 嵒
nqp 嵒
yji 嵓
wwo 嵔
zsu 嵕
iai 嵖
svp 嵗
rsi 嵘
keu 嵙
qku 嵚
yui 嵛
qii 嵜
lzo 嵝
tui 嵞
dvu 嵟
xiu 嵠
wgo 嵡
chu 嵢
dhp 嵣
thi 嵣
rsi 嵤
yki 嵤
jqi 嵥
kdo 嵦
aii 嵦
lqi 嵧
wup 嵨
ssu 嵩
qnu 嵪
kcu 嵪
ziu 嵫
wwi 嵬
wwo 嵬
bgu 嵭
dmu 嵮
coi 嵯
ciu 嵯
qmo 嵰
yso 嵱
ysi 嵱
nqp 嵲
coi 嵳
jio 嵴
jii 嵴
uii 嵵
rop 嵶
sso 嵷
zsu 嵸
jlp 嵹
lni 嵺
jnu 嵺
khu 嵻
ijo 嵼
dqi 嵽
dip 嵽
cfu 嵾
cju 嵾
dko 嵿
tuu 嶀
lzo 嶁
vhp 嶂
vjo 嶃
vjo 嶄
iji 嶄
aoi 嶅
aop 嶅
cci 嶆
quu 嶇
qlu 嶈
cvu 嶉
zvo 嶉
zvo 嶊
dco 嶋
dco 嶌
xii 嶍
yup 嶎
pwp 嶏
pio 嶏
lsi 嶐
xlp 嶑
cgi 嶒
vgu 嶒
bou 嶓
qku 嶔
jnu 嶕
yju 嶖
lci 嶗
vjp 嶘
lki 嶙
lko 嶙
lni 嶚
lni 嶛
jku 嶜
qki 嶜
dgp 嶝
dop 嶞
zyu 嶟
jnp 嶠
qni 嶠
gvp 嶡
jti 嶡
yci 嶢
jnu 嶣
yci 嶤
jti 嶥
vju 嶦
ujp 嶦
yip 嶧
xti 嶨
nci 嶩
yep 嶪
yep 嶫
yii 嶬
yio 嶬
nqp 嶭
xmo 嶮
yjo 嶮
jii 嶯
xqp 嶰
jqp 嶰
keo 嶱
xiu 嶲
dip 嶳
aop 嶴
zvo 嶵
wwu 嶶
yii 嶷
nip 嶷
rsi 嶸
dco 嶹
lko 嶺
jqi 嶻
yuo 嶼
xup 嶼
ytp 嶽
yko 嶾
r 嶿
jqi 巀
lip 巁
lqp 巁
gvu 巂
xiu 巂
jrp 巂
lsi 巃
lsi 巄
dmu 巅
rsi 巆
hsu 巆
yki 巆
xiu 巇
jui 巈
iji 巉
yko 巊
kvu 巋
kvp 巋
wwo 巋
yji 巌
wwu 巍
nci 巎
qri 巏
ico 巐
cri 巑
lri 巒
dmu 巓
dmu 巔
nqp 巕
yji 巖
yji 巗
yjo 巘
kvi 巙
nci 巙
yjo 巚
iru 巛
uyp 巛
kkp 巜
hru 巜
iru 川
vzu 州
hlu 巟
jku 巠
xki 巠
xyi 巡
yji 巡
uyp 巡
ici 巢
icp 巢
ici 巣
lqp 巤
gsu 工
zoo 左
qno 巧
jup 巨
qui 巨
gso 巩
jup 巪
wuu 巫
p 巬
p 巭
iap 差
iau 差
idu 差
ciu 差
idp 差
cou 差
jqu 差
qqi 巯
qqi 巰
jio 己
qio 己
yio 已
sip 已
sip 巳
yio 巳
bau 巴
viu 巵
vcu 巶
xlp 巷
hhp 巷
yii 巸
jko 巹
xyp 巺
jrp 巻
bau 巼
xyp 巽
vrp 巽
jku 巾
fui 巿
poi 巿
zau 帀
bip 币
ykp 币
uip 市
fui 市
bup 布
dku 帄
ukp 帅
fju 帆
fji 帆
fjp 帆
nqp 帇
uiu 师
ffu 帉
pap 帊
pau 帊
vio 帋
xiu 希
hup 帍
djp 帎
wwi 帏
vhp 帐
tho 帑
nui 帑
ddp 帒
mop 帓
wap 帓
pwp 帔
piu 帔
pap 帕
mop 帕
tqu 帖
tqo 帖
tqp 帖
bou 帗
fui 帗
lmi 帘
ifi 帘
vip 帙
vzo 帚
boi 帛
vip 帜
dip 帝
mop 帞
yip 帟
yip 帠
pki 帡
qxp 帢
jro 帣
jrp 帣
rui 帤
ukp 帥
ddp 带
vfu 帧
vgp 帧
uvp 帨
qnp 帩
vfu 帪
uiu 師
qyi 帬
xii 席
bhu 帮
ddp 帯
gvu 帰
izi 帱
dcp 帱
pki 帲
vhp 帳
sjp 帴
jmo 帴
jmu 帴
wju 帵
ddp 帶
wwi 帷
ihi 常
uap 帹
qqp 帹
qii 帺
jip 帺
zei 帻
goi 帼
mcp 帽
duo 帾
hzi 帿
vgp 幀
xuu 幁
mip 幂
wwi 幃
wop 幄
fui 幅
biu 幅
yip 幆
kdp 幆
bhu 幇
pki 幈
dqi 幉
gsu 幊
pji 幋
hlo 幌
tcu 幍
mip 幎
jxp 幏
tgi 幐
hvu 幑
vsu 幒
uju 幓
ufu 幓
qnu 幓
mjp 幔
mup 幕
mjp 幕
bnu 幖
goi 幗
zei 幘
cep 幘
mup 幙
bhu 幚
vhp 幛
jko 幜
ijo 幝
ijp 幝
fui 幞
vip 幟
huu 幠
wui 幠
fju 幡
ili 幢
vlp 幢
bip 幣
bip 幤
vho 幥
mip 幦
qnu 幧
iju 幨
ijp 幨
ffi 幩
ffp 幩
mgi 幪
mgo 幪
bhu 幫
izi 幬
dcp 幬
mqp 幭
iui 幮
jqi 幯
xmo 幰
lji 幱
gjp 干
gju 干
anp 干
pki 平
pmi 平
bkp 平
bgu 平
nmi 年
nkp 年
jmu 幵
qmu 幵
bkp 并
bku 并
bkp 幷
bku 幷
xkp 幸
nqp 幸
gjp 幹
gju 幹
hji 幹
gro 幹
ycu 幺
mip 幺
hrp 幻
yzp 幼
ycp 幼
yzu 幽
jio 幾
jiu 幾
jip 幾
qii 幾
glo 广
yjo 广
anu 广
pio 庀
tku 庁
zep 庂
glo 広
vlu 庄
pgi 庄
moi 庅
qkp 庆
bip 庇
pii 庇
pio 庇
qki 庈
dyp 庉
tyi 庉
ili 床
gvo 庋
gvp 庋
yao 庌
yai 庌
bdp 庍
xkp 庍
tku 庍
jqp 庎
xup 序
lui 庐
wuo 庑
vlu 庒
kup 库
yku 应
ykp 应
dio 底
d 底
pci 庖
dmp 店
yau 庘
mnp 庙
ggu 庚
cip 庛
fuo 府
tsi 庝
phi 庞
fwp 废
xli 庠
yio 庡
vip 庢
tnu 庣
vip 庤
xqu 庥
dup 度
doi 度
vdi 度
zop 座
xnu 庨
tui 庩
gvo 庪
kup 庫
mhi 庬
mgi 庬
tki 庭
yzo 庮
yzi 庮
buu 庯
bkp 庰
bko 庰
igo 庱
ldi 庲
bip 庳
pii 庳
jii 庴
jiu 庴
anu 庵
yjo 庵
ep 庵
uup 庶
vup 庶
veu 庶
khu 康
khp 康
ysu 庸
ysi 庸
too 庹
ssu 庺
uup 庻
qko 庼
yup 庽
yuo 庾
yui 庾
mnp 庿
szu 廀
cep 廁
cip 廁
zep 廁
s 廁
xlu 廂
fwp 廃
jqp 廄
ep 廅
gvu 廆
wwo 廆
hvp 廆
lqp 廇
uap 廈
xxp 廈
lmi 廉
lhi 廊
szu 廋
vip 廌
bup 廍
qko 廎
qkp 廎
qku 廎
jqp 廏
jqp 廐
jko 廑
qki 廑
aoi 廒
kop 廓
lzi 廔
ykp 廕
lnp 廖
lni 廖
ddp 廗
lup 廘
yip 廙
iui 廚
iji 廛
tui 廜
siu 廝
xku 廞
qmp 廞
mnp 廟
iho 廠
wuo 廡
wui 廡
fwp 廢
glo 廣
glp 廣
klp 廣
glu 廣
kup 廤
kkp 廥
bip 廦
qli 廧
sep 廧
xqp 廨
lko 廩
ljo 廩
lko 廪
lni 廫
lui 廬
lvi 廬
jip 廭
yko 廮
xmu 廯
tku 廰
ysu 廱
lii 廲
tku 廳
yko 廴
ykp 廴
xyi 廵
yji 延
tki 廷
dii 廸
pdo 廹
pop 廹
jmp 建
hvi 廻
ndo 廼
hvi 廽
gso 廾
nmp 廿
kdu 开
bmp 弁
pji 弁
yip 异
yii 异
qip 弃
nsp 弄
lsp 弄
ffp 弅
juo 弆
quo 弆
yjo 弇
yju 弇
nji 弇
yip 弈
zhp 弉
bip 弊
yip 弋
yiu 弌
erp 弍
sju 弎
uip 式
tep 式
erp 弐
uip 弑
uip 弒
gsu 弓
dnp 弔
dip 弔
yko 引
hup 弖
fui 弗
hsi 弘
wuu 弙
tvi 弚
iii 弛
jlp 弜
bap 弝
ufo 弞
dip 弟
tip 弟
tvi 弟
vhu 张
jti 弡
vhu 弡
tcu 弢
fuo 弣
dio 弤
mii 弥
xmi 弦
hui 弧
icu 弨
nuo 弩
jkp 弪
vfo 弫
yii 弬
mio 弭
qru 弮
jrp 弮
wju 弯
ucu 弰
rop 弱
xru 弲
yru 弲
jkp 弳
dnu 弴
vhu 張
vhp 張
jlp 弶
qli 強
jlp 強
qlo 強
pgi 弸
pgu 弸
djp 弹
tji 弹
qli 强
jlp 强
qlo 强
bip 弻
bip 弼
uep 弽
djp 弾
jmo 弿
gzp 彀
kzu 彀
geu 彁
fau 彂
bip 彃
kzu 彄
jmo 彅
bqp 彆
xnu 彇
djp 彈
tji 彈
gou 彉
jlp 彊
qli 彊
qlo 彊
jlu 彊
hsi 彋
mii 彌
mio 彌
nii 彌
gou 彍
wju 彎
jti 彏
jip 彐
jip 彑
gvu 归
dhu 当
dhp 当
lup 彔
lup 录
trp 彖
uio 彖
hvp 彗
svp 彗
vip 彘
hvp 彙
hvp 彚
yii 彛
yii 彜
yii 彝
yii 彞
ytu 彟
ytu 彠
uju 彡
xmo 彡
xki 形
wfi 彣
tsi 彤
yjp 彥
yjp 彦
pji 彦
yup 彧
iiu 彨
cdo 彩
bnu 彪
dnu 彫
bku 彬
bju 彬
pgi 彭
phi 彭
bhu 彭
pgu 彭
yso 彮
pnu 彯
pnp 彯
mno 彯
vhu 彰
yko 影
iiu 彲
iip 彳
fui 彳
voi 彴
boi 彴
too 彵
yii 彵
jii 彶
phi 彷
fho 彷
fhi 彷
vsu 彸
yip 役
whi 彺
iep 彻
bio 彼
diu 彽
lki 彾
lko 彾
fui 彿
who 往
whp 往
vgu 征
cui 徂
who 徃
jkp 径
ddp 待
ddu 待
xiu 徆
xyp 徇
hfo 很
yhi 徉
hki 徊
hvi 徊
lvp 律
hzp 後
who 徍
wau 徍
igo 徎
vgp 徎
vip 徏
xui 徐
jkp 徑
jku 徑
tui 徒
csi 従
v 徔
ldi 徕
ldp 徕
csi 徖
dei 得
d 得
dwo 得
pdi 徘
xio 徙
siu 徙
dsu 徚
jip 徛
ihi 徜
vip 徝
csi 從
zsp 從
zsu 從
csu 從
zso 從
vzu 徟
ldi 徠
ldp 徠
yup 御
yap 御
xqp 徢
jqp 徣
jmp 徤
uip 徥
tio 徥
jxo 徦
xxi 徦
bmp 徧
pmi 徧
pmu 徧
hli 徨
fup 復
xyi 循
wwo 徫
phi 徬
bhp 徬
yci 徭
wwu 微
xiu 徯
xii 徯
vgu 徰
pnp 徱
tii 徲
iii 徲
dei 徳
vgu 徴
vgu 徵
vio 徵
igi 徵
bqi 徶
dei 德
isu 徸
vsu 徸
vso 徸
iep 徹
jno 徺
hvp 徻
jno 徼
jnp 徼
jnu 徼
ycu 徼
hvu 徽
mwi 徾
lsp 徿
lso 徿
xlu 忀
rho 忀
bcp 忁
qui 忂
jup 忂
xku 心
x 忄
bip 必
yip 忆
lep 忇
rfi 忈
dcu 忉
dkp 忊
tkp 忊
gdo 忋
jip 忌
rfo 忍
rfp 忍
rfi 忎
ijp 忏
qmo 忏
qmu 忏
tjo 忐
kgo 忐
tep 忑
dco 忑
tep 忒
tvu 忒
twu 忒
gju 忓
hjp 忓
qip 忔
yip 忔
uip 忕
tdp 忕
cyo 忖
vip 志
whp 忘
whi 忘
mhi 忙
xiu 忚
lqo 忚
fju 忛
yku 応
tmo 忝
mki 忞
wfo 忞
wfo 忟
vsu 忠
isu 忡
wup 忢
jii 忣
wuo 忤
wup 忤
xip 忥
jxi 忦
yzu 忧
yzp 忧
wjp 忨
wji 忨
csu 忩
ssu 忪
vsu 忪
kkp 快
yup 忬
uuu 忬
bmp 忭
vip 忮
qii 忮
qii 忯
uip 忯
cvp 忰
ifi 忱
djp 忱
tdp 忲
tyi 忳
vyu 忳
dyp 忳
qmi 忴
qki 忴
nmp 念
hyi 忶
xsu 忷
nqo 忸
kli 忹
who 忹
xmu 忺
xku 忻
khu 忼
hhu 忼
hhp 忼
huu 忽
kdp 忾
qip 忾
ffp 忿
hki 怀
fup 怀
tdp 态
sso 怂
wuo 怃
oup 怄
ihp 怅
ilp 怆
jup 怇
yip 怈
bco 怉
bcp 怉
icu 怊
mki 怋
mfi 怋
pwu 怌
zop 怍
vap 怍
zfo 怎
yhp 怏
yhu 怏
jup 怐
kzp 怐
bjp 怑
nup 怒
nci 怓
nqi 怓
vgu 怔
vgp 怔
pap 怕
boi 怕
bup 怖
tqu 怗
vju 怗
hup 怘
gup 怘
hup 怙
tqu 怙
jup 怚
quu 怚
cuu 怚
zuu 怚
dai 怛
djp 怛
lmi 怜
lki 怜
lko 怜
siu 思
sdu 思
izi 怞
yzi 怞
dip 怟
ddp 怠
yii 怠
yii 怡
tuu 怢
dqi 怢
tvp 怢
yzi 怣
fuu 怤
jii 急
pgu 怦
xkp 性
yrp 怨
yyp 怨
nii 怩
gkp 怪
fui 怫
fwp 怫
bwp 怫
xip 怬
bip 怭
yzu 怮
ycp 怮
qqp 怯
xrp 怰
csu 怱
bko 怲
hlo 怳
xup 怴
xtp 怴
iup 怵
xup 怵
bip 怶
piu 怶
uup 怷
xiu 怸
tju 怹
yso 怺
zso 总
dvp 怼
m 怽
vio 怾
yip 怿
uip 恀
nfp 恁
rfp 恁
nki 恁
xyi 恂
uyp 恂
uip 恃
vip 恃
xip 恄
lco 恅
hgi 恆
ggp 恆
klu 恇
mzi 恈
vio 恉
xqi 恊
lmp 恋
tnu 恌
yci 恌
hlo 恍
glu 恍
dqi 恎
hcp 恏
kso 恐
gvo 恑
wwi 恑
hgi 恒
xiu 恓
qiu 恓
xup 恓
jno 恔
xnp 恔
uup 恕
siu 恖
huu 恗
kxu 恗
qqu 恘
yhp 恙
hvp 恚
hvi 恛
iip 恜
jxi 恝
qip 恝
yii 恞
xsu 恟
gkp 恠
lkp 恡
hvu 恢
zip 恣
xup 恤
iio 恥
uhp 恦
nvp 恧
hfp 恨
enu 恩
kep 恪
dsp 恫
tsu 恫
tmi 恬
gsu 恭
qru 恮
vru 恮
xiu 息
qxp 恰
ytp 恱
pgu 恲
kfo 恳
dei 恴
hvp 恵
ep 恶
eo 恶
wup 恶
wuu 恶
x 恷
tsp 恸
yju 恹
kdo 恺
cep 恻
nco 恼
yyp 恽
mhi 恾
yso 恿
tsu 恿
yso 悀
yru 悁
jrp 悁
piu 悂
biu 悂
pio 悂
kyo 悃
qnu 悄
qno 悄
qnp 悄
ytp 悅
yup 悆
uuu 悆
tui 悇
yui 悇
jqp 悈
kep 悈
xiu 悉
vei 悊
lkp 悋
tip 悌
hjp 悍
hcp 悎
jnp 悎
qqp 悏
tip 悐
bup 悑
yip 悒
qmp 悓
hvo 悔
xiu 悕
bwp 悖
bwo 悖
mji 悗
mfp 悗
yiu 悘
yip 悘
hgu 悙
hgp 悙
sso 悚
qru 悛
xyi 悛
igo 悜
kvu 悝
lio 悝
wup 悞
wup 悟
yzu 悠
lii 悡
llp 悢
lho 悢
hrp 患
csu 悤
yip 悥
ytp 悦
lip 悧
nki 您
nco 悩
ep 悪
qtp 悫
xri 悬
qmu 悭
wup 悮
mko 悯
csi 悰
fwo 悱
bwu 悲
dei 悳
cvp 悴
ihp 悵
mfp 悶
mfu 悶
lip 悷
jip 悸
grp 悹
grp 悺
xkp 悻
dcp 悼
qiu 悽
qip 悽
ksu 悾
kso 悾
tmo 悿
lyi 惀
lyp 惀
xiu 惁
kjo 惂
gyo 惃
nip 惄
qki 情
izi 惆
qqu 惆
dcu 惆
dyu 惇
goo 惈
vju 惉
jku 惊
lli 惊
wjo 惋
yru 惌
wjo 惌
yup 惌
jku 惍
jip 惎
lji 惏
lki 惏
yup 惐
xup 惐
hop 惑
hei 惒
qri 惓
jrp 惓
tji 惔
djp 惔
tip 惕
tip 惖
nqp 惗
who 惘
iop 惙
ivp 惙
huu 惚
hyu 惛
hyo 惛
mfp 惛
xiu 惜
iho 惝
tho 惝
xku 惞
wwi 惟
wwo 惟
hvp 惠
ep 惡
wup 惡
wuu 惡
eo 惡
huu 惡
soo 惢
rvo 惢
zso 惣
jmu 惤
yso 惥
dmp 惦
jup 惧
cjo 惨
igi 惩
dei 惪
bwp 惫
qqp 惬
cji 惭
djp 惮
grp 惯
dop 惰
toi 惰
nco 惱
yyp 惲
xlo 想
vvp 惴
iro 惴
gxp 惴
dqi 惵
tqu 惵
hli 惶
iyo 惷
qsi 惸
reo 惹
rop 惹
xku 惺
cep 惻
bmo 惼
mko 惽
hyu 惽
zsu 惾
tii 惿
uip 惿
qno 愀
qqp 愀
izi 愁
qno 愁
jqu 愁
bwp 愂
xru 愃
wwu 愄
gei 愅
qmu 愆
wwo 愇
yup 愈
yui 愉
tzu 愉
yuo 愉
bip 愊
xru 愋
hrp 愌
mko 愍
ffu 愍
bip 愎
yip 意
yiu 意
mmo 愐
yso 愑
kdp 愒
qip 愒
hep 愒
dhp 愓
uhu 愓
thi 愓
yhi 愓
yku 愔
ep 愕
ifi 愖
dju 愖
xkp 愖
mcp 愗
qxp 愘
qxu 愘
kep 愘
kep 愙
yui 愚
aip 愛
qqp 愜
yjo 愝
nop 愞
gjo 感
hjp 感
yyp 愠
yyo 愠
wfo 愠
zso 愡
sdu 愢
siu 愢
sio 愢
lgp 愣
ffp 愤
yku 愥
kvp 愦
kvp 愧
qtp 愨
gsu 愩
gsp 愩
hso 愩
yyi 愪
sup 愫
sup 愬
sep 愬
qii 愭
yci 愮
ycp 愮
sso 愯
hlp 愰
hlo 愰
jii 愱
guo 愲
jup 愳
ilp 愴
ilo 愴
nip 愵
xqi 愶
kdo 愷
vgo 愸
yso 愹
cco 愺
xyp 愻
ufp 愼
boi 愽
kdp 愾
xip 愾
qip 愾
yrp 愿
xip 慀
xqi 慀
hyp 慁
yso 慂
yho 慃
lip 慄
scu 慅
cco 慅
tcu 慆
yku 慇
cii 慈
xup 慉
iup 慉
qmp 慊
qqp 慊
xmi 慊
qmo 慊
tdp 態
hlu 慌
hlo 慌
h 慌
yyp 慍
ufp 慎
vfp 慎
mko 慏
g 慐
uep 慑
csi 慒
cci 慒
pnu 慓
pnp 慓
mup 慔
mup 慕
goi 慖
iip 慗
cjo 慘
cji 慙
cji 慚
cvu 慛
mko 慜
tep 慝
nip 慝
vhu 慞
tsp 慟
aop 慠
aoi 慠
ulo 慡
mjp 慢
mji 慢
grp 慣
qtp 慤
zcp 慥
ccp 慥
jqp 慦
hvp 慧
kdo 慨
lmi 慩
oup 慪
ouu 慪
sso 慫
qki 慬
jkp 慬
jko 慬
ykp 慭
lvp 慮
lvi 慮
uhu 慯
wwp 慰
tri 慱
mji 慲
qmu 慳
xmi 慳
uep 慴
vei 慴
ysu 慵
qkp 慶
qku 慶
qlu 慶
khu 慷
dip 慸
iip 慸
vii 慹
vei 慹
lzi 慺
lvo 慺
jrp 慻
qiu 慼
qiu 慽
yup 慾
pki 慿
lni 憀
csp 憁
ssu 憁
yzu 憂
isu 憃
vip 憄
tsp 憅
igu 憆
qip 憇
quu 憈
pgi 憉
bwp 憊
bqu 憋
qsi 憌
jnu 憍
zgu 憎
iip 憏
lmi 憐
pki 憑
kvp 憒
hvp 憓
qni 憔
igi 憕
vgp 憕
dgp 憕
ykp 憖
xkp 憖
yki 憖
ykp 憗
xio 憘
xiu 憘
xiu 憙
xio 憙
djp 憚
dai 憚
ijo 憚
tji 憛
dop 憜
dvp 憝
dvp 憞
dyp 憞
tyu 憞
sup 憟
jti 憠
cep 憡
xnu 憢
jnu 憢
fju 憣
ffp 憤
lci 憥
lcp 憦
lci 憦
isu 憧
vlp 憧
hju 憨
qip 憩
xmi 憪
xmp 憪
mko 憫
jko 憬
lno 憭
lni 憭
wuo 憮
wui 憮
cjo 憯
jti 憰
cup 憱
xmp 憲
xmo 憲
tjo 憳
ugi 憴
piu 憵
yip 憶
iup 憷
iuo 憷
xmu 憸
nci 憹
nsi 憹
nhi 憹
nco 憹
djp 憺
tjo 憻
jko 憼
jkp 憼
ssu 憽
hjp 憾
djp 憾
jno 憿
jiu 憿
wwp 懀
xru 懁
hru 懁
dso 懂
qki 懃
qki 懄
jup 懅
cco 懆
scu 懆
scp 懆
kfo 懇
xqp 懈
yku 應
ykp 應
aop 懊
yup 懊
mcp 懋
yip 懌
lko 懍
sep 懎
jyp 懏
hki 懐
mfp 懑
ljo 懒
aip 懓
lko 懔
ljo 懔
yju 懕
yjp 懕
yep 懕
kop 懖
xxp 懗
iip 懘
yuo 懙
ykp 懚
ddu 懛
mgo 懜
mgp 懜
mgi 懜
aip 懝
nip 懝
nio 懝
mgi 懞
mgo 懞
dvp 懟
qii 懠
jip 懠
jiu 懠
moo 懡
lji 懢
xmp 懢
mfp 懣
izi 懤
vip 懥
nop 懦
nop 懧
yju 懨
yho 懩
boi 懪
vip 懫
klp 懬
klo 懭
yzo 懮
yzu 懮
fuu 懯
lqi 懰
lqo 懰
mqp 懱
igi 懲
h 懳
ijp 懴
mgo 懵
mgp 懵
ljo 懶
ldp 懶
hki 懷
xri 懸
rhp 懹
ijp 懺
jip 懻
jup 懼
hru 懽
grp 懽
uep 懾
yip 懿
yiu 懿
lmp 戀
njo 戁
mii 戂
moi 戂
tho 戃
jti 戄
ghp 戅
ghp 戆
vlp 戆
vlp 戇
ghp 戇
geu 戈
ytp 戉
wup 戊
jmu 戋
xuu 戌
q 戌
uup 戍
rsi 戎
rgu 戎
xip 戏
huu 戏
igi 成
woo 我
jqp 戒
geu 戓
jmu 戔
cji 戔
qlu 戕
zhu 戕
hop 或
yup 或
qlu 戗
qlp 戗
vjp 战
dsp 戙
qiu 戚
cup 戚
jxi 戛
gau 戛
dqi 戜
zwi 戝
jxi 戞
jio 戟
viu 戠
vii 戠
kju 戡
vfo 戡
jii 戢
kvi 戣
gdp 戤
dgo 戥
vjp 戦
qlu 戧
ilu 戧
qlp 戧
geu 戨
jmo 戩
jqi 截
yup 戫
jmo 戬
yjo 戭
yzo 戭
lup 戮
huu 戯
xip 戯
vjp 戰
xip 戱
xip 戲
huu 戲
xiu 戲
hvu 戲
sou 戲
yiu 戲
iou 戳
ddp 戴
qui 戵
hup 戶
hup 户
hup 戸
ep 戹
uip 戺
yii 戺
tip 戻
mco 戼
hup 戽
lip 戾
fhi 房
phi 房
soo 所
bmo 扁
pmu 扁
bmu 扁
pmi 扁
dmp 扂
jsu 扃
jso 扃
uho 扄
jsu 扄
yii 扅
yio 扆
ujp 扇
uju 扇
hup 扈
fwu 扉
yjo 扊
uzo 手
u 扌
cdi 才
zdu 才
vau 扎
zau 扎
vai 扎
vao 扎
qqi 扏
lep 扐
lip 扐
cdi 扐
puu 扑
pip 扑
bau 扒
pai 扒
bdp 扒
bqi 扒
dao 打
dai 打
rgu 扔
rgp 扔
fjo 払
rup 扖
zdp 扗
tou 托
vhp 扙
dno 扚
dii 扚
ytu 扚
lip 扚
khi 扛
ghu 扛
yuu 扜
wuu 扜
kuu 扝
wuu 扝
gjo 扞
hjp 扞
ufu 扟
iau 扠
idu 扠
vao 扠
tou 扡
yio 扡
iio 扡
guo 扢
qip 扢
jqi 扢
geu 扢
kzp 扣
wup 扤
dfp 扥
qmu 扦
vii 执
rfp 扨
kop 扩
mfi 扪
sco 扫
scp 扫
yhi 扬
nqo 扭
izo 扭
vzo 扭
vzp 扭
bjp 扮
ffo 扮
ffu 扮
hoo 扮
ieo 扯
rco 扰
yzp 扰
xiu 扱
iau 扱
qip 扱
qmi 扲
qki 扲
bju 扳
pju 扳
jxi 扴
yui 扵
fui 扶
pui 扶
aop 扷
xiu 扸
vei 扸
piu 批
pii 批
vio 扺
qii 扺
vip 扻
syo 扻
kjo 扻
ep 扼
dfp 扽
vco 找
hxi 找
igi 承
vgo 承
vgp 承
jip 技
qii 技
yjo 抁
kli 抂
who 抂
bmp 抃
icu 抄
sou 抄
icp 抄
ico 抄
juu 抅
wfo 抆
hui 抇
ytp 抈
jti 抉
bao 把
bap 把
pai 把
qkp 抋
djo 抌
ufo 抌
vgo 抍
yyo 抎
wji 抏
nep 抐
nip 抐
nap 抐
rvp 抐
yip 抑
uuu 抒
vxu 抓
pzi 抔
tzi 投
dzp 投
dzo 抖
khp 抗
ghu 抗
vei 折
uei 折
veu 折
tii 折
pzi 抙
fuo 抚
pcu 抛
bai 抜
aoo 抝
aop 抝
nqp 抝
zei 択
tri 抟
kzu 抠
lyu 抡
lyi 抡
qlo 抢
qlu 抢
y 抣
hup 护
bcp 报
bko 抦
vio 抧
vdo 抧
pgu 抨
bgu 抨
nji 抩
bup 抪
puu 抪
bai 抪
piu 披
tdi 抬
iiu 抬
yco 抭
tcu 抭
vfo 抮
vau 抯
yhu 抰
bcp 抱
pcu 抱
pzo 抱
heu 抲
hep 抲
qxu 抲
nio 抳
nii 抳
yep 抴
uei 抴
dio 抵
vio 抵
qii 抵
iip 抶
piu 抷
pwu 抷
jxu 抸
moo 抹
mau 抹
mop 抹
mwp 抺
ifu 抻
ufu 抻
yau 押
xxi 押
jxo 押
izu 抽
quu 抾
mko 抿
iup 拀
jxu 拁
yai 拁
fui 拂
bip 拂
pip 拂
fwp 拂
vao 拃
vjo 拃
vap 拃
vai 拃
vuo 拄
dju 担
djp 担
djo 担
jqu 担
idu 拆
iep 拆
iip 拆
cau 拆
muo 拇
nmu 拈
nmo 拈
dmu 拈
lau 拉
lai 拉
lao 拉
lap 拉
l 拉
fuo 拊
fuu 拊
buo 拊
pcu 拋
bjp 拌
pju 拌
pdu 拍
boi 拍
lku 拎
lku 拎
nai 拏
gko 拐
qmi 拑
jup 拒
juo 拒
top 拓
tap 拓
vii 拓
bai 拔
bou 拔
bqi 拔
fai 拔
bwp 拔
tou 拕
tou 拖
iio 拖
aoo 拗
aop 拗
nqp 拗
yup 拗
juu 拘
gzu 拘
juo 拘
jui 拘
vou 拙
pjp 拚
bmp 拚
ffp 拚
fju 拚
pku 拚
vcu 招
qni 招
uci 招
bdp 拜
bdi 拜
bdp 拝
dio 拞
nio 拟
